DEMO time: 13.01.13 17:07:39, score: 14725, snakelen: 143, ctr: 16380, speed: 10
DEMO time: 13.01.13 17:14:37, score: 6357, snakelen: 63, ctr: 4993, speed: 10
DEMO time: 13.01.13 17:21:30, score: 14581, snakelen: 141, ctr: 18790, speed: 10
DEMO time: 13.01.13 17:28:52, score: 15066, snakelen: 145, ctr: 21480, speed: 10
DEMO time: 13.01.13 17:33:12, score: 11761, snakelen: 115, ctr: 12510, speed: 10
DEMO time: 13.01.13 17:37:36, score: 15143, snakelen: 147, ctr: 16580, speed: 10
DEMO time: 13.01.13 17:43:42, score: 12417, snakelen: 121, ctr: 14430, speed: 10
DEMO time: 13.01.13 17:49:02, score: 9457, snakelen: 93, ctr: 9300, speed: 10
DEMO time: 13.01.13 17:54:00, score: 13675, snakelen: 133, ctr: 15550, speed: 10
DEMO time: 13.01.13 18:01:06, score: 14542, snakelen: 141, ctr: 17260, speed: 10
DEMO time: 13.01.13 18:05:51, score: 10992, snakelen: 108, ctr: 9820, speed: 10
DEMO time: 13.01.13 18:10:03, score: 12388, snakelen: 121, ctr: 13100, speed: 10
DEMO time: 13.01.13 18:16:38, score: 12157, snakelen: 119, ctr: 11880, speed: 10
DEMO time: 13.01.13 18:25:06, score: 13746, snakelen: 133, ctr: 18460, speed: 10
DEMO time: 13.01.13 18:33:08, score: 11735, snakelen: 115, ctr: 11250, speed: 10
DEMO time: 13.01.13 18:33:56, score: 2710, snakelen: 27, ctr: 2232, speed: 10
DEMO time: 13.01.13 18:39:49, score: 12370, snakelen: 121, ctr: 12310, speed: 10
DEMO time: 13.01.13 18:44:51, score: 15615, snakelen: 151, ctr: 18790, speed: 10
SOLO time: 13.01.13 18:45:21, score: 700, snakelen: 7, ctr: 500, speed: 10
SOLO time: 13.01.13 18:47:21, score: 7802, snakelen: 77, ctr: 7350, speed: 10
PLACE time: 13.01.13 18:52:34, score: 2205, snakelen: 22, ctr: 1410, speed: 10
SOLO time: 13.01.13 18:53:57, score: 4542, snakelen: 45, ctr: 5200, speed: 10
DEMO time: 13.01.13 19:01:27, score: 14162, snakelen: 137, ctr: 18570, speed: 10
DEMO time: 13.01.13 19:07:19, score: 14492, snakelen: 141, ctr: 15300, speed: 10
DEMO time: 13.01.13 19:16:27, score: 15159, snakelen: 145, ctr: 25010, speed: 10
DEMO time: 13.01.13 19:20:05, score: 12389, snakelen: 121, ctr: 13150, speed: 10
DEMO time: 13.01.13 19:26:53, score: 12399, snakelen: 121, ctr: 13630, speed: 10
snake inited
SOLO time: 13.01.13 19:27:49, score: 1903, snakelen: 19, ctr: 1100, speed: 10
DEMO time: 13.01.13 19:34:57, score: 14172, snakelen: 137, ctr: 18990, speed: 10
snake inited
SOLO time: 13.01.13 19:35:46, score: 1903, snakelen: 19, ctr: 1010, speed: 10
DEMO time: 13.01.13 19:40:24, score: 2306, snakelen: 23, ctr: 1554, speed: 10
SOLO time: 13.01.13 19:48:48, score: 16885, snakelen: 159, ctr: 34080, speed: 10
SOLO time: 13.01.13 19:49:31, score: 300, snakelen: 3, ctr: 0, speed: 10
SOLO time: 13.01.13 19:57:57, score: 17321, snakelen: 163, ctr: 34480, speed: 10
DEMO time: 13.01.13 20:01:01, score: 9452, snakelen: 93, ctr: 9016, speed: 10
PLACE time: 13.01.13 20:01:16, score: 300, snakelen: 3, ctr: 1, speed: 10
PLACE time: 13.01.13 20:03:05, score: 5229, snakelen: 52, ctr: 3130, speed: 10
DEMO time: 13.01.13 20:13:31, score: 13014, snakelen: 127, ctr: 13610, speed: 10
DEMO time: 13.01.13 20:20:00, score: 13609, snakelen: 133, ctr: 12800, speed: 10
DEMO time: 13.01.13 20:28:22, score: 16257, snakelen: 157, ctr: 19550, speed: 10
DEMO time: 13.01.13 20:35:04, score: 16056, snakelen: 155, ctr: 19760, speed: 10
DEMO time: 13.01.13 20:41:01, score: 14533, snakelen: 141, ctr: 16920, speed: 10
DEMO time: 13.01.13 20:46:52, score: 12609, snakelen: 123, ctr: 13830, speed: 10
snake inited
SOLO time: 13.01.13 20:48:59, score: 1904, snakelen: 19, ctr: 1220, speed: 10
DEMO time: 13.01.13 20:58:25, score: 14172, snakelen: 137, ctr: 18990, speed: 10
